teamNumber,points2022,epa2022,opr2022
180,53,1815,64.17
2056,53,1873,62.38
4099,45,1639,27.67
1706,44,1813,51.68
33,44,1812,56.45
3357,37,1738,34.52
5712,36,1720,39.86
3538,33,1753,45.56
2767,32,1850,43.13
4635,32,1735,51.25
27,31,1890,45.88
118,29,1863,46.32
1533,28,1690,44.44
4499,28,1777,52.91
67,28,1899,48.6
195,27,1720,40.14
1023,25,1726,50.23
4028,25,1763,44.64
1339,24,1771,43.04
2075,24,1781,48.07
5406,24,1771,48.05
624,21,1861,31.4
2468,20,1740,40.87
2539,20,1669,35.49
1732,17,1766,45.65
4143,17,1719,46.21
340,16,1735,45.29
7457,16,1732,40.86
1987,13,1722,40.24
2363,12,1770,38.53
3175,9,1663,35.64
1730,8,1673,35.82
1024,0,1595,35.2
1720,0,1488,28.68
2338,0,1693,32.75
234,0,1569,26.82
2614,0,1767,23.21
3176,0,1664,21.08
325,0,1619,18.8
3940,0,1721,31.7
4265,0,1711,38.18
4926,0,1656,38.42
5010,0,1581,23.48
503,0,1724,35.0
5484,0,1579,36.31
587,0,1692,44.08
694,0,1768,37.8
829,0,1595,32.63
