teamNumber,points
195,54
2056,54
2168,46
225,38
340,38
1024,36
118,33
2614,32
3357,32
2771,31
1619,30
2590,30
217,29
319,29
33,28
4028,28
5406,27
1747,25
302,24
3538,24
2481,22
868,22
1533,21
3707,21
2337,20
4587,17
1706,16
2655,16
133,14
494,13
1640,12
67,8
1102,0
1218,0
1710,0
1720,0
1731,0
1741,0
1746,0
1806,0
20,0
2013,0
234,0
2363,0
245,0
2451,0
2468,0
2791,0
2826,0
2834,0
3452,0
3478,0
359,0
3641,0
384,0
3847,0
3940,0
4265,0
4499,0
469,0
4944,0
4967,0
5254,0
624,0
6800,0
694,0
708,0
829,0
865,0
88,0
